id,split,image,gt_time_hhmm,gt_time_minutes,gt_time_hhmmss,gt_time_seconds_total,gt_seconds,pred_time_hhmm,pred_time_minutes,pred_time_hhmmss,pred_time_seconds_total,parsed_ok,is_exact,tol_1,tol_5,abs_err_minutes,hour_correct,minute_correct,second_correct,raw_output,latency_sec,error
rege_ood_clean_blender_000000,clean,images/sample_00000.png,11:00,660,11:00:45,39645,45,12:04,4,12:04:48,288,True,False,False,False,64,False,False,False,12:04:48,0.13029932975769043,
rege_ood_clean_blender_000001,clean,images/sample_00001.png,05:33,333,05:33:30,20010,30,,,,,False,False,False,False,,,,,17:33:30,0.11978769302368164,
rege_ood_clean_blender_000002,clean,images/sample_00002.png,08:15,495,08:15:43,29743,43,07:12,432,07:12:00,25920,True,False,False,False,63,False,False,False,07:12:00,0.11951994895935059,
rege_ood_clean_blender_000003,clean,images/sample_00003.png,08:25,505,08:25:23,30323,23,,,,,False,False,False,False,,,,,15:30:28,0.12437653541564941,
rege_ood_clean_blender_000004,clean,images/sample_00004.png,11:40,700,,,,12:45,45,12:45:00,2700,True,False,False,False,65,False,False,,12:45:00,0.12781167030334473,
rege_ood_clean_blender_000005,clean,images/sample_00005.png,09:52,592,,,,10:55,655,10:55:30,39330,True,False,False,False,63,False,False,,10:55:30,0.12584853172302246,
rege_ood_clean_blender_000006,clean,images/sample_00006.png,06:44,404,,,,06:39,399,06:39:00,23940,True,False,False,True,5,True,False,,06:39:00,0.1270887851715088,
rege_ood_clean_blender_000007,clean,images/sample_00007.png,05:03,303,,,,07:00,420,,,True,False,False,False,117,False,False,,17:07:00,0.12809133529663086,
rege_ood_clean_blender_000008,clean,images/sample_00008.png,05:44,344,05:44:46,20686,46,,,,,False,False,False,False,,,,,17:44:45,0.12717413902282715,
rege_ood_clean_blender_000009,clean,images/sample_00009.png,04:17,257,,,,,,,,False,False,False,False,,,,,16:15:00,0.12766242027282715,
rege_ood_clean_blender_000010,clean,images/sample_00010.png,07:40,460,,,,07:38,458,07:38:00,27480,True,False,False,True,2,True,False,,07:38:00,0.13445329666137695,
rege_ood_clean_blender_000011,clean,images/sample_00011.png,01:31,91,01:31:21,5481,21,06:17,377,06:17:00,22620,True,False,False,False,286,False,False,False,06:17:00,0.13377833366394043,
rege_ood_clean_blender_000012,clean,images/sample_00012.png,04:36,276,04:36:48,16608,48,,,,,False,False,False,False,,,,,16:33:45,0.1320028305053711,
rege_ood_clean_blender_000013,clean,images/sample_00013.png,01:25,85,,,,02:29,149,02:29:30,8970,True,False,False,False,64,False,False,,02:29:30,0.13313078880310059,
rege_ood_clean_blender_000014,clean,images/sample_00014.png,08:43,523,08:43:22,31402,22,08:42,522,08:42:21,31341,True,False,True,True,1,True,False,False,08:42:21,0.13290143013000488,
rege_ood_clean_blender_000015,clean,images/sample_00015.png,03:42,222,03:42:19,13339,19,04:47,287,04:47:25,17245,True,False,False,False,65,False,False,False,04:47:25,0.12966036796569824,
rege_ood_clean_blender_000016,clean,images/sample_00016.png,06:47,407,06:47:06,24426,6,10:10,610,10:10:10,36610,True,False,False,False,203,False,False,False,10:10:10,0.12899374961853027,
rege_ood_clean_blender_000017,clean,images/sample_00017.png,12:39,39,12:39:06,2346,6,10:09,609,10:09:00,36540,True,False,False,False,150,False,False,False,10:09:00,0.13311982154846191,
rege_ood_clean_blender_000018,clean,images/sample_00018.png,12:19,19,12:19:05,1145,5,04:10,250,04:10:10,15010,True,False,False,False,231,False,False,False,04:10:10,0.13692164421081543,
rege_ood_clean_blender_000019,clean,images/sample_00019.png,06:07,367,06:07:08,22028,8,06:05,365,06:05:00,21900,True,False,False,True,2,True,False,False,06:05:00,0.13138484954833984,
rege_ood_clean_blender_000020,clean,images/sample_00020.png,11:37,697,,,,12:38,38,12:38:00,2280,True,False,False,False,61,False,False,,12:38:00,0.13244867324829102,
rege_ood_clean_blender_000021,clean,images/sample_00021.png,02:57,177,02:57:41,10661,41,10:53,653,10:53:35,39215,True,False,False,False,244,False,False,False,10:53:35,0.13159942626953125,
rege_ood_clean_blender_000022,clean,images/sample_00022.png,01:50,110,01:50:05,6605,5,01:48,108,01:48:06,6486,True,False,False,True,2,True,False,False,01:48:06,0.1351766586303711,
rege_ood_clean_blender_000023,clean,images/sample_00023.png,06:49,409,,,,06:46,406,06:46:00,24360,True,False,False,True,3,True,False,,06:46:00,0.13354015350341797,
rege_ood_clean_blender_000024,clean,images/sample_00024.png,01:18,78,01:18:38,4718,38,07:15,435,07:15:38,26138,True,False,False,False,357,False,False,True,07:15:38,0.1308271884918213,
rege_ood_clean_blender_000025,clean,images/sample_00025.png,08:03,483,,,,08:06,486,08:06:00,29160,True,False,False,True,3,True,False,,08:06:00,0.12868881225585938,
