id,split,image,gt_time_hhmm,gt_time_minutes,gt_time_hhmmss,gt_time_seconds_total,gt_seconds,pred_time_hhmm,pred_time_minutes,pred_time_hhmmss,pred_time_seconds_total,parsed_ok,is_exact,tol_1,tol_5,abs_err_minutes,hour_correct,minute_correct,second_correct,raw_output,latency_sec,error
rege_ood_clean_blender_000000,clean,images/sample_00000.png,04:54,294,,,,04:52,292,,,True,False,False,True,2,True,False,,04:52,5.397618770599365,
rege_ood_clean_blender_000001,clean,images/sample_00001.png,03:16,196,,,,03:17,197,,,True,False,True,True,1,True,False,,03:17,0.15915226936340332,
rege_ood_clean_blender_000002,clean,images/sample_00002.png,08:15,495,,,,07:10,430,,,True,False,False,False,65,False,False,,07:10,0.15682148933410645,
rege_ood_clean_blender_000003,clean,images/sample_00003.png,05:25,325,05:25:50,19550,50,12:28,28,,,True,False,False,False,297,False,False,,12:28,0.15996336936950684,
rege_ood_clean_blender_000004,clean,images/sample_00004.png,11:21,681,11:21:14,40874,14,03:52,232,,,True,False,False,False,271,False,False,,03:52,0.16537117958068848,
rege_ood_clean_blender_000005,clean,images/sample_00005.png,12:43,43,12:43:19,2599,19,09:25,565,,,True,False,False,False,198,False,False,,09:25,0.15992140769958496,
rege_ood_clean_blender_000006,clean,images/sample_00006.png,06:44,404,,,,05:39,339,,,True,False,False,False,65,False,False,,05:39,0.1614987850189209,
rege_ood_clean_blender_000007,clean,images/sample_00007.png,06:35,395,,,,06:33,393,,,True,False,False,True,2,True,False,,06:33,0.15963172912597656,
rege_ood_clean_blender_000008,clean,images/sample_00008.png,02:01,121,,,,02:03,123,,,True,False,False,True,2,True,False,,02:03,0.16031599044799805,
rege_ood_clean_blender_000009,clean,images/sample_00009.png,08:49,529,08:49:09,31749,9,09:50,590,,,True,False,False,False,61,False,False,,09:50,0.16078758239746094,
rege_ood_clean_blender_000010,clean,images/sample_00010.png,06:00,360,,,,11:59,719,,,True,False,False,False,359,False,False,,11:59,0.16090106964111328,
rege_ood_clean_blender_000011,clean,images/sample_00011.png,10:29,629,10:29:42,37782,42,10:31,631,,,True,False,False,True,2,True,False,,10:31,0.16032791137695312,
rege_ood_clean_blender_000012,clean,images/sample_00012.png,01:07,67,,,,02:12,132,,,True,False,False,False,65,False,False,,02:12,0.15729832649230957,
rege_ood_clean_blender_000013,clean,images/sample_00013.png,11:07,667,11:07:05,40025,5,11:10,670,,,True,False,False,True,3,True,False,,11:10,0.16080403327941895,
rege_ood_clean_blender_000014,clean,images/sample_00014.png,08:43,523,08:43:22,31402,22,08:43,523,,,True,True,True,True,0,True,True,,08:43,0.16041994094848633,
rege_ood_clean_blender_000015,clean,images/sample_00015.png,03:51,231,,,,03:48,228,,,True,False,False,True,3,True,False,,03:48,0.1625230312347412,
rege_ood_clean_blender_000016,clean,images/sample_00016.png,01:43,103,,,,02:47,167,,,True,False,False,False,64,False,False,,02:47,0.15996217727661133,
rege_ood_clean_blender_000017,clean,images/sample_00017.png,12:39,39,,,,01:44,104,,,True,False,False,False,65,False,False,,01:44,0.16761279106140137,
rege_ood_clean_blender_000018,clean,images/sample_00018.png,12:02,2,,,,11:00,660,,,True,False,False,False,62,False,False,,11:00,0.16883063316345215,
rege_ood_clean_blender_000019,clean,images/sample_00019.png,10:26,626,,,,04:18,258,,,True,False,False,False,352,False,False,,04:18,0.16309714317321777,
rege_ood_clean_blender_000020,clean,images/sample_00020.png,08:03,483,,,,08:05,485,,,True,False,False,True,2,True,False,,08:05,0.16060996055603027,
rege_ood_clean_blender_000021,clean,images/sample_00021.png,04:54,294,,,,03:49,229,,,True,False,False,False,65,False,False,,03:49,0.15850377082824707,
rege_ood_clean_blender_000022,clean,images/sample_00022.png,12:19,19,,,,12:17,17,,,True,False,False,True,2,True,False,,12:17,0.1612076759338379,
rege_ood_clean_blender_000023,clean,images/sample_00023.png,06:49,409,06:49:25,24565,25,07:52,472,,,True,False,False,False,63,False,False,,07:52,0.16106390953063965,
rege_ood_clean_blender_000024,clean,images/sample_00024.png,11:44,704,11:44:04,42244,4,10:40,640,,,True,False,False,False,64,False,False,,10:40,0.15918445587158203,
rege_ood_clean_blender_000025,clean,images/sample_00025.png,08:00,480,08:00:34,28834,34,08:03,483,,,True,False,False,True,3,True,False,,08:03,0.16046905517578125,
rege_ood_clean_blender_000026,clean,images/sample_00026.png,12:48,48,,,,12:46,46,,,True,False,False,True,2,True,False,,12:46,0.1593155860900879,
rege_ood_clean_blender_000027,clean,images/sample_00027.png,09:39,579,09:39:06,34746,6,09:40,580,,,True,False,True,True,1,True,False,,09:40,0.16676640510559082,
rege_ood_clean_blender_000028,clean,images/sample_00028.png,01:42,102,,,,01:39,99,,,True,False,False,True,3,True,False,,01:39,0.15943551063537598,
rege_ood_clean_blender_000029,clean,images/sample_00029.png,03:51,231,,,,04:53,293,,,True,False,False,False,62,False,False,,04:53,0.16176176071166992,
rege_ood_clean_blender_000030,clean,images/sample_00030.png,07:32,452,07:32:02,27122,2,07:34,454,,,True,False,False,True,2,True,False,,07:34,0.1613020896911621,
rege_ood_clean_blender_000031,clean,images/sample_00031.png,11:48,708,,,,11:48,708,,,True,True,True,True,0,True,True,,11:48,0.17548465728759766,
rege_ood_clean_blender_000032,clean,images/sample_00032.png,03:28,208,,,,03:27,207,,,True,False,True,True,1,True,False,,03:27,0.17162322998046875,
rege_ood_clean_blender_000033,clean,images/sample_00033.png,03:26,206,,,,04:30,270,,,True,False,False,False,64,False,False,,04:30,0.1594536304473877,
