id,split,image,gt_time_hhmm,gt_time_minutes,gt_time_hhmmss,gt_time_seconds_total,gt_seconds,pred_time_hhmm,pred_time_minutes,pred_time_hhmmss,pred_time_seconds_total,parsed_ok,is_exact,tol_1,tol_5,abs_err_minutes,hour_correct,minute_correct,second_correct,raw_output,latency_sec,error,run_id,vote_support,num_runs
rege_ood_clean_blender_000000,clean,images/sample_00000.png,11:00,660,11:00:45,39645,45,10:59,659,10:59:45,39585,True,False,True,True,1,False,False,True,11:00:45,0.4504110813140869,,1,3,5
rege_ood_clean_blender_000001,clean,images/sample_00001.png,05:33,333,05:33:30,20010,30,05:35,335,05:35:30,20130,True,False,False,True,2,True,False,True,The exact time shown on the analog clock is 05:35:30,0.5381863117218018,,1,2,5
rege_ood_clean_blender_000002,clean,images/sample_00002.png,08:15,495,08:15:43,29743,43,02:42,162,02:42:42,9762,True,False,False,False,333,False,False,False,11:44:09,0.37872910499572754,,1,2,5
rege_ood_clean_blender_000003,clean,images/sample_00003.png,08:25,505,08:25:23,30323,23,08:25,505,08:25:23,30323,True,True,True,True,0,True,True,True,08:24:24,0.38056135177612305,,1,3,5
rege_ood_clean_blender_000004,clean,images/sample_00004.png,11:40,700,,,,12:47,47,12:47:00,2820,True,False,False,False,67,False,False,,12:46:47,0.3831455707550049,,1,2,5
rege_ood_clean_blender_000005,clean,images/sample_00005.png,09:52,592,,,,10:54,654,10:54:54,39294,True,False,False,False,62,False,False,,10:54:54,0.3805713653564453,,1,2,5
rege_ood_clean_blender_000006,clean,images/sample_00006.png,06:44,404,,,,06:44,404,06:44:44,24284,True,True,True,True,0,True,True,,6:44:44,0.3654899597167969,,1,4,5
rege_ood_clean_blender_000007,clean,images/sample_00007.png,05:03,303,,,,03:29,209,03:29:05,12545,True,False,False,False,94,False,False,,00:24:05,0.386141300201416,,1,1,5
rege_ood_clean_blender_000008,clean,images/sample_00008.png,05:44,344,05:44:46,20686,46,05:45,13,,,True,False,False,False,331,False,False,,05:45:45,0.3866267204284668,,1,1,5
rege_ood_clean_blender_000009,clean,images/sample_00009.png,04:17,257,,,,04:16,256,04:16:13,15373,True,False,True,True,1,True,False,,04:12:13,0.383927583694458,,1,2,5
rege_ood_clean_blender_000010,clean,images/sample_00010.png,07:40,460,,,,07:40,460,07:40:39,27639,True,True,True,True,0,True,True,,The time shown on the analog clock in HH:MM:SS format is 07:39:40.,0.6677119731903076,,1,3,5
rege_ood_clean_blender_000011,clean,images/sample_00011.png,01:31,91,01:31:21,5481,21,01:31,91,01:31:17,5477,True,True,True,True,0,True,True,False,The exact time shown on the analog clock is 01:31:17.,0.5719971656799316,,1,3,5
rege_ood_clean_blender_000012,clean,images/sample_00012.png,04:36,276,04:36:48,16608,48,04:35,275,04:35:47,16547,True,False,True,True,1,True,False,False,The exact time shown on this analog clock is 04:35:47.,0.5735087394714355,,1,3,5
rege_ood_clean_blender_000013,clean,images/sample_00013.png,01:25,85,,,,01:26,86,01:26:27,5187,True,False,True,True,1,True,False,,1:26:27,0.38234853744506836,,1,3,5
rege_ood_clean_blender_000014,clean,images/sample_00014.png,08:43,523,08:43:22,31402,22,08:43,523,08:43:21,31401,True,True,True,True,0,True,True,False,21:44:21,0.38831138610839844,,1,2,5
rege_ood_clean_blender_000015,clean,images/sample_00015.png,03:42,222,03:42:19,13339,19,03:42,222,03:42:19,13339,True,True,True,True,0,True,True,True,12:43:19,0.3808436393737793,,1,1,5
rege_ood_clean_blender_000016,clean,images/sample_00016.png,06:47,407,06:47:06,24426,6,06:47,407,06:47:05,24425,True,True,True,True,0,True,True,False,The exact time shown on the analog clock is 06:47:05.,0.5648555755615234,,1,4,5
rege_ood_clean_blender_000017,clean,images/sample_00017.png,12:39,39,12:39:06,2346,6,07:40,460,07:40:05,27605,True,False,False,False,299,False,False,False,The time shown on the analog clock is 10:42:06,0.5482418537139893,,1,1,5
rege_ood_clean_blender_000018,clean,images/sample_00018.png,12:19,19,12:19:05,1145,5,12:19,19,12:19:05,1145,True,True,True,True,0,True,True,True,12:19:05,0.38719677925109863,,1,2,5
rege_ood_clean_blender_000019,clean,images/sample_00019.png,06:07,367,06:07:08,22028,8,06:05,365,06:05:04,21904,True,False,False,True,2,True,False,False,06:05:04,0.382124662399292,,1,4,5
rege_ood_clean_blender_000020,clean,images/sample_00020.png,11:37,697,,,,11:38,698,11:38:38,41918,True,False,True,True,1,True,False,,11:38:38,0.3831362724304199,,1,4,5
rege_ood_clean_blender_000021,clean,images/sample_00021.png,02:57,177,02:57:41,10661,41,02:55,175,02:55:38,10538,True,False,False,True,2,True,False,False,11:55:39,0.3685317039489746,,1,2,5
rege_ood_clean_blender_000022,clean,images/sample_00022.png,01:50,110,01:50:05,6605,5,10:04,604,10:04:04,36244,True,False,False,False,226,False,False,False,1:49:04,0.3765857219696045,,1,2,5
rege_ood_clean_blender_000023,clean,images/sample_00023.png,06:49,409,,,,06:46,406,06:46:00,24360,True,False,False,True,3,True,False,,6:46:00,0.3656916618347168,,1,3,5
rege_ood_clean_blender_000024,clean,images/sample_00024.png,01:18,78,01:18:38,4718,38,01:17,77,01:17:38,4658,True,False,True,True,1,True,False,True,1:18:39,0.36356306076049805,,1,2,5
rege_ood_clean_blender_000025,clean,images/sample_00025.png,08:03,483,,,,08:03,483,08:03:04,28984,True,True,True,True,0,True,True,,08:04:04,0.3878214359283447,,1,2,5
rege_ood_clean_blender_000026,clean,images/sample_00026.png,03:18,198,03:18:44,11924,44,03:17,197,03:17:43,11863,True,False,True,True,1,True,False,False,03:17:43,0.3788716793060303,,1,2,5
rege_ood_clean_blender_000027,clean,images/sample_00027.png,03:20,200,03:20:05,12005,5,02:13,133,02:13:01,7981,True,False,False,False,67,False,False,False,The time shown on the analog clock is 02:13:01,0.5332581996917725,,1,2,5
