id,split,image,num_runs,parsed_count,parsed_rate,num_unique_predictions,agreement_rate,vote_pred_time_hhmm,vote_pred_time_minutes,vote_support,any_exact,any_tol1,any_tol5
rege_ood_clean_blender_000000,clean,images/sample_00000.png,5,5,1.0,1,1.0,12:04,4,5,False,False,False
rege_ood_clean_blender_000001,clean,images/sample_00001.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000002,clean,images/sample_00002.png,5,5,1.0,1,1.0,07:12,432,5,False,False,False
rege_ood_clean_blender_000003,clean,images/sample_00003.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000004,clean,images/sample_00004.png,5,4,0.8,1,1.0,12:45,45,4,False,False,False
rege_ood_clean_blender_000005,clean,images/sample_00005.png,5,5,1.0,1,1.0,10:55,655,5,False,False,False
rege_ood_clean_blender_000006,clean,images/sample_00006.png,5,3,0.6,1,1.0,06:39,399,3,False,False,True
rege_ood_clean_blender_000007,clean,images/sample_00007.png,5,5,1.0,1,1.0,07:00,420,5,False,False,False
rege_ood_clean_blender_000008,clean,images/sample_00008.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000009,clean,images/sample_00009.png,5,2,0.4,2,0.5,04:14,254,1,False,False,True
rege_ood_clean_blender_000010,clean,images/sample_00010.png,5,5,1.0,1,1.0,07:38,458,5,False,False,True
rege_ood_clean_blender_000011,clean,images/sample_00011.png,5,5,1.0,1,1.0,06:17,377,5,False,False,False
rege_ood_clean_blender_000012,clean,images/sample_00012.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000013,clean,images/sample_00013.png,5,3,0.6,2,0.6666666666666666,02:29,149,2,False,False,False
rege_ood_clean_blender_000014,clean,images/sample_00014.png,5,5,1.0,3,0.4,08:40,520,2,False,True,True
rege_ood_clean_blender_000015,clean,images/sample_00015.png,5,2,0.4,1,1.0,04:47,287,2,False,False,False
rege_ood_clean_blender_000016,clean,images/sample_00016.png,5,5,1.0,1,1.0,10:10,610,5,False,False,False
rege_ood_clean_blender_000017,clean,images/sample_00017.png,5,5,1.0,2,0.6,02:43,163,3,False,False,False
rege_ood_clean_blender_000018,clean,images/sample_00018.png,5,4,0.8,2,0.5,04:09,249,2,False,False,False
rege_ood_clean_blender_000019,clean,images/sample_00019.png,5,5,1.0,1,1.0,06:05,365,5,False,False,True
rege_ood_clean_blender_000020,clean,images/sample_00020.png,5,4,0.8,1,1.0,12:38,38,4,False,False,False
rege_ood_clean_blender_000021,clean,images/sample_00021.png,5,5,1.0,2,0.6,10:52,652,3,False,False,False
rege_ood_clean_blender_000022,clean,images/sample_00022.png,5,5,1.0,1,1.0,01:48,108,5,False,False,True
rege_ood_clean_blender_000023,clean,images/sample_00023.png,5,2,0.4,2,0.5,06:46,406,1,False,False,True
rege_ood_clean_blender_000024,clean,images/sample_00024.png,5,5,1.0,1,1.0,07:15,435,5,False,False,False
rege_ood_clean_blender_000025,clean,images/sample_00025.png,5,5,1.0,1,1.0,08:06,486,5,False,False,True
rege_ood_clean_blender_000026,clean,images/sample_00026.png,5,2,0.4,2,0.5,02:14,134,1,False,False,True
rege_ood_clean_blender_000027,clean,images/sample_00027.png,5,5,1.0,1,1.0,03:00,180,5,False,False,False
rege_ood_clean_blender_000028,clean,images/sample_00028.png,5,5,1.0,2,0.6,08:40,520,3,False,False,False
rege_ood_clean_blender_000029,clean,images/sample_00029.png,5,5,1.0,1,1.0,06:53,413,5,False,False,False
rege_ood_clean_blender_000030,clean,images/sample_00030.png,5,5,1.0,1,1.0,01:51,111,5,False,False,True
rege_ood_clean_blender_000031,clean,images/sample_00031.png,5,4,0.8,1,1.0,06:33,393,4,True,True,True
rege_ood_clean_blender_000032,clean,images/sample_00032.png,5,5,1.0,1,1.0,12:02,2,5,False,False,False
rege_ood_clean_blender_000033,clean,images/sample_00033.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000034,clean,images/sample_00034.png,5,5,1.0,1,1.0,07:10,430,5,False,False,False
rege_ood_clean_blender_000035,clean,images/sample_00035.png,5,5,1.0,2,0.8,08:00,480,4,False,True,True
rege_ood_clean_blender_000036,clean,images/sample_00036.png,5,5,1.0,2,0.8,11:25,685,4,False,False,False
rege_ood_clean_blender_000037,clean,images/sample_00037.png,5,5,1.0,2,0.6,04:07,247,3,False,True,True
rege_ood_clean_blender_000038,clean,images/sample_00038.png,5,5,1.0,1,1.0,10:23,623,5,False,False,False
rege_ood_clean_blender_000039,clean,images/sample_00039.png,5,5,1.0,2,0.6,04:36,276,3,False,False,False
rege_ood_clean_blender_000040,clean,images/sample_00040.png,5,3,0.6,3,0.3333333333333333,05:30,330,1,False,False,True
rege_ood_clean_blender_000041,clean,images/sample_00041.png,5,5,1.0,2,0.8,10:52,652,4,False,False,False
rege_ood_clean_blender_000042,clean,images/sample_00042.png,5,5,1.0,2,0.6,11:58,718,3,False,False,True
rege_ood_clean_blender_000043,clean,images/sample_00043.png,5,4,0.8,2,0.75,04:18,258,3,False,False,True
rege_ood_clean_blender_000044,clean,images/sample_00044.png,5,5,1.0,1,1.0,09:48,588,5,False,True,True
rege_ood_clean_blender_000045,clean,images/sample_00045.png,5,1,0.2,1,1.0,07:54,474,1,False,False,False
rege_ood_clean_blender_000046,clean,images/sample_00046.png,5,5,1.0,1,1.0,12:17,17,5,False,False,False
rege_ood_clean_blender_000047,clean,images/sample_00047.png,5,5,1.0,1,1.0,10:33,633,5,False,False,True
rege_ood_clean_blender_000048,clean,images/sample_00048.png,5,5,1.0,1,1.0,12:21,21,5,False,False,False
rege_ood_clean_blender_000049,clean,images/sample_00049.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000050,clean,images/sample_00050.png,5,5,1.0,1,1.0,07:41,461,5,False,False,True
rege_ood_clean_blender_000051,clean,images/sample_00051.png,5,5,1.0,1,1.0,03:27,207,5,False,False,False
rege_ood_clean_blender_000052,clean,images/sample_00052.png,5,5,1.0,1,1.0,12:49,49,5,False,False,True
rege_ood_clean_blender_000053,clean,images/sample_00053.png,5,5,1.0,1,1.0,07:19,439,5,False,False,False
rege_ood_clean_blender_000054,clean,images/sample_00054.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000055,clean,images/sample_00055.png,5,5,1.0,3,0.6,10:57,657,3,False,False,False
rege_ood_clean_blender_000056,clean,images/sample_00056.png,5,5,1.0,3,0.6,09:47,587,3,False,False,False
rege_ood_clean_blender_000057,clean,images/sample_00057.png,5,5,1.0,1,1.0,08:59,539,5,False,False,False
rege_ood_clean_blender_000058,clean,images/sample_00058.png,5,5,1.0,1,1.0,11:46,706,5,False,False,True
rege_ood_clean_blender_000059,clean,images/sample_00059.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000060,clean,images/sample_00060.png,5,5,1.0,1,1.0,10:02,602,5,False,False,True
rege_ood_clean_blender_000061,clean,images/sample_00061.png,5,5,1.0,2,0.8,06:40,400,4,False,False,False
rege_ood_clean_blender_000062,clean,images/sample_00062.png,5,5,1.0,2,0.6,03:12,192,3,False,False,True
rege_ood_clean_blender_000063,clean,images/sample_00063.png,5,5,1.0,1,1.0,12:07,7,5,False,False,False
rege_ood_clean_blender_000064,clean,images/sample_00064.png,5,5,1.0,2,0.8,06:13,373,4,False,False,True
rege_ood_clean_blender_000065,clean,images/sample_00065.png,5,5,1.0,1,1.0,04:12,252,5,False,False,True
rege_ood_clean_blender_000066,clean,images/sample_00066.png,5,5,1.0,1,1.0,11:47,707,5,False,False,True
rege_ood_clean_blender_000067,clean,images/sample_00067.png,5,5,1.0,1,1.0,10:05,605,5,False,False,False
rege_ood_clean_blender_000068,clean,images/sample_00068.png,5,5,1.0,2,0.6,02:12,132,3,False,False,False
rege_ood_clean_blender_000069,clean,images/sample_00069.png,5,4,0.8,1,1.0,03:23,203,4,False,False,False
rege_ood_clean_blender_000070,clean,images/sample_00070.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000071,clean,images/sample_00071.png,5,5,1.0,1,1.0,08:57,537,5,False,False,True
rege_ood_clean_blender_000072,clean,images/sample_00072.png,5,5,1.0,2,0.8,07:13,433,4,False,False,False
rege_ood_clean_blender_000073,clean,images/sample_00073.png,5,4,0.8,2,0.5,12:00,0,2,False,False,True
rege_ood_clean_blender_000074,clean,images/sample_00074.png,5,5,1.0,1,1.0,01:28,88,5,False,False,False
rege_ood_clean_blender_000075,clean,images/sample_00075.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000076,clean,images/sample_00076.png,5,5,1.0,1,1.0,12:05,5,5,False,False,False
rege_ood_clean_blender_000077,clean,images/sample_00077.png,5,5,1.0,1,1.0,10:12,612,5,False,True,True
rege_ood_clean_blender_000078,clean,images/sample_00078.png,5,3,0.6,2,0.6666666666666666,03:14,194,2,False,False,True
rege_ood_clean_blender_000079,clean,images/sample_00079.png,5,0,0.0,0,0.0,,,0,False,False,False
rege_ood_clean_blender_000080,clean,images/sample_00080.png,5,5,1.0,1,1.0,07:46,466,5,False,False,False
