id,split,image,gt_time_hhmm,gt_time_minutes,gt_time_hhmmss,gt_time_seconds_total,gt_seconds,pred_time_hhmm,pred_time_minutes,pred_time_hhmmss,pred_time_seconds_total,parsed_ok,is_exact,tol_1,tol_5,abs_err_minutes,hour_correct,minute_correct,second_correct,raw_output,latency_sec,error
rege_ood_noisy_blender_000000,noisy,images/sample_00000.png,12:18,18,,,,01:24,84,01:24:25,5065,True,False,False,False,66,False,False,,01:24:25,0.13669300079345703,
rege_ood_noisy_blender_000001,noisy,images/sample_00001.png,07:25,445,,,,,,,,False,False,False,False,,,,,17:42:00,0.11968994140625,
rege_ood_noisy_blender_000002,noisy,images/sample_00002.png,06:44,404,06:44:40,24280,40,07:46,466,07:46:00,27960,True,False,False,False,62,False,False,False,07:46:00,0.11711716651916504,
rege_ood_noisy_blender_000003,noisy,images/sample_00003.png,12:40,40,,,,01:40,100,01:40:00,6000,True,False,False,False,60,False,True,,01:40:00,0.1313610076904297,
rege_ood_noisy_blender_000004,noisy,images/sample_00004.png,12:19,19,,,,10:13,613,10:13:00,36780,True,False,False,False,126,False,False,,10:13:00,0.13114380836486816,
rege_ood_noisy_blender_000005,noisy,images/sample_00005.png,03:28,208,03:28:55,12535,55,,,,,False,False,False,False,,,,,15:30:57,0.13567876815795898,
rege_ood_noisy_blender_000006,noisy,images/sample_00006.png,06:48,408,,,,08:55,535,08:55:57,32157,True,False,False,False,127,False,False,,08:55:57,0.12165474891662598,
rege_ood_noisy_blender_000007,noisy,images/sample_00007.png,11:28,688,11:28:18,41298,18,11:27,687,11:27:16,41236,True,False,True,True,1,True,False,False,11:27:16,0.12990045547485352,
rege_ood_noisy_blender_000008,noisy,images/sample_00008.png,07:55,475,07:55:17,28517,17,10:25,625,10:25:26,37526,True,False,False,False,150,False,False,False,10:25:26,0.13027381896972656,
rege_ood_noisy_blender_000009,noisy,images/sample_00009.png,06:40,400,,,,07:39,459,07:39:40,27580,True,False,False,False,59,False,False,,07:39:40,0.13002490997314453,
rege_ood_noisy_blender_000010,noisy,images/sample_00010.png,04:42,282,04:42:22,16942,22,,,,,False,False,False,False,,,,,17:47:28,0.12963318824768066,
rege_ood_noisy_blender_000011,noisy,images/sample_00011.png,12:00,0,12:00:02,2,2,05:07,307,,,True,False,False,False,307,False,False,,13:05:07,0.1297626495361328,
rege_ood_noisy_blender_000012,noisy,images/sample_00012.png,06:17,377,06:17:38,22658,38,,,,,False,False,False,False,,,,,17:14:32,0.12579822540283203,
rege_ood_noisy_blender_000013,noisy,images/sample_00013.png,12:44,44,12:44:54,2694,54,10:05,605,10:05:53,36353,True,False,False,False,159,False,False,False,10:05:53,0.12942194938659668,
rege_ood_noisy_blender_000014,noisy,images/sample_00014.png,12:22,22,12:22:54,1374,54,10:12,612,10:12:43,36763,True,False,False,False,130,False,False,False,10:12:43,0.12093091011047363,
rege_ood_noisy_blender_000015,noisy,images/sample_00015.png,11:37,697,,,,09:05,545,09:05:00,32700,True,False,False,False,152,False,False,,09:05:00,0.13392305374145508,
rege_ood_noisy_blender_000016,noisy,images/sample_00016.png,09:08,548,09:08:52,32932,52,09:12,552,09:12:55,33175,True,False,False,True,4,True,False,False,09:12:55,0.13561487197875977,
rege_ood_noisy_blender_000017,noisy,images/sample_00017.png,09:55,595,09:55:31,35731,31,12:03,3,12:03:38,218,True,False,False,False,128,False,False,False,12:03:38,0.13260388374328613,
rege_ood_noisy_blender_000018,noisy,images/sample_00018.png,11:57,717,,,,10:05,605,10:05:00,36300,True,False,False,False,112,False,False,,10:05:00,0.1358034610748291,
rege_ood_noisy_blender_000019,noisy,images/sample_00019.png,07:07,427,07:07:11,25631,11,11:59,719,11:59:03,43143,True,False,False,False,292,False,False,False,11:59:03,0.1345982551574707,
rege_ood_noisy_blender_000020,noisy,images/sample_00020.png,06:37,397,06:37:16,23836,16,,,,,False,False,False,False,,,,,17:26:05,0.1357097625732422,
rege_ood_noisy_blender_000021,noisy,images/sample_00021.png,03:16,196,,,,,,,,False,False,False,False,,,,,17:25:00,0.13354086875915527,
rege_ood_noisy_blender_000022,noisy,images/sample_00022.png,06:51,411,06:51:07,24667,7,,,,,False,False,False,False,,,,,17:45:00,0.13520073890686035,
rege_ood_noisy_blender_000023,noisy,images/sample_00023.png,02:24,144,,,,,,,,False,False,False,False,,,,,14:30:00,0.1347792148590088,
rege_ood_noisy_blender_000024,noisy,images/sample_00024.png,05:08,308,05:08:47,18527,47,,,,,False,False,False,False,,,,,18:14:52,0.13428306579589844,
rege_ood_noisy_blender_000025,noisy,images/sample_00025.png,07:31,451,07:31:21,27081,21,,,,,False,False,False,False,,,,,17:22:13,0.13263487815856934,
rege_ood_noisy_blender_000026,noisy,images/sample_00026.png,09:27,567,09:27:21,34041,21,07:23,443,07:23:23,26603,True,False,False,False,124,False,False,False,07:23:23,0.1345348358154297,
rege_ood_noisy_blender_000027,noisy,images/sample_00027.png,06:32,392,,,,10:25,625,10:25:00,37500,True,False,False,False,233,False,False,,10:25:00,0.13262295722961426,
rege_ood_noisy_blender_000028,noisy,images/sample_00028.png,04:23,263,04:23:46,15826,46,02:13,133,02:13:37,8017,True,False,False,False,130,False,False,False,02:13:37,0.13612031936645508,
rege_ood_noisy_blender_000029,noisy,images/sample_00029.png,10:48,648,,,,12:55,55,12:55:00,3300,True,False,False,False,127,False,False,,12:55:00,0.11909079551696777,
rege_ood_noisy_blender_000030,noisy,images/sample_00030.png,11:54,714,,,,10:08,608,10:08:00,36480,True,False,False,False,106,False,False,,10:08:00,0.12563252449035645,
rege_ood_noisy_blender_000031,noisy,images/sample_00031.png,03:43,223,,,,04:49,289,04:49:50,17390,True,False,False,False,66,False,False,,04:49:50,0.1412959098815918,
rege_ood_noisy_blender_000032,noisy,images/sample_00032.png,11:57,717,,,,10:50,650,10:50:00,39000,True,False,False,False,67,False,False,,10:50:00,0.1386096477508545,
rege_ood_noisy_blender_000033,noisy,images/sample_00033.png,01:03,63,01:03:56,3836,56,12:05,5,12:05:54,354,True,False,False,False,58,False,False,False,12:05:54,0.13557171821594238,
