id,split,image,gt_time_hhmm,gt_time_minutes,gt_time_hhmmss,gt_time_seconds_total,gt_seconds,pred_time_hhmm,pred_time_minutes,pred_time_hhmmss,pred_time_seconds_total,parsed_ok,is_exact,tol_1,tol_5,abs_err_minutes,hour_correct,minute_correct,second_correct,raw_output,latency_sec,error,run_id,vote_support,num_runs
rege_ood_noisy_blender_000000,noisy,images/sample_00000.png,12:18,18,12:18:58,1138,58,03:25,205,,,True,False,False,False,187,False,False,,07:25,0.32051658630371094,,1,1,5
rege_ood_noisy_blender_000001,noisy,images/sample_00001.png,01:33,93,,,,01:33,93,,,True,True,True,True,0,True,True,,01:34,0.2907602787017822,,1,2,5
rege_ood_noisy_blender_000002,noisy,images/sample_00002.png,04:02,242,04:02:52,14572,52,05:08,308,,,True,False,False,False,66,False,False,,05:06,0.3038609027862549,,1,2,5
rege_ood_noisy_blender_000003,noisy,images/sample_00003.png,01:23,83,01:23:11,4991,11,01:24,84,,,True,False,True,True,1,True,False,,01:24,0.30840468406677246,,1,4,5
rege_ood_noisy_blender_000004,noisy,images/sample_00004.png,01:16,76,01:16:01,4561,1,01:20,205,,,True,False,False,False,129,False,False,,03:25,0.30737781524658203,,1,2,5
rege_ood_noisy_blender_000005,noisy,images/sample_00005.png,03:28,208,,,,07:19,439,,,True,False,False,False,231,False,False,,07:19,0.3106040954589844,,1,4,5
rege_ood_noisy_blender_000006,noisy,images/sample_00006.png,06:48,408,06:48:30,24510,30,05:41,341,,,True,False,False,False,67,False,False,,05:41,0.31455516815185547,,1,2,5
rege_ood_noisy_blender_000007,noisy,images/sample_00007.png,06:08,368,06:08:00,22080,0,06:07,367,,,True,False,True,True,1,True,False,,06:08,0.3216845989227295,,1,4,5
rege_ood_noisy_blender_000008,noisy,images/sample_00008.png,04:08,248,04:08:34,14914,34,05:47,347,,,True,False,False,False,99,False,False,,06:47,0.32506823539733887,,1,1,5
rege_ood_noisy_blender_000009,noisy,images/sample_00009.png,01:37,97,,,,01:33,170,,,True,False,False,False,73,False,False,,12:36,0.32268738746643066,,1,1,5
rege_ood_noisy_blender_000010,noisy,images/sample_00010.png,10:21,621,10:21:12,37272,12,10:22,622,,,True,False,True,True,1,True,False,,10:22,0.32150959968566895,,1,3,5
rege_ood_noisy_blender_000011,noisy,images/sample_00011.png,04:38,278,,,,03:32,212,,,True,False,False,False,66,False,False,,03:32,0.3150792121887207,,1,5,5
rege_ood_noisy_blender_000012,noisy,images/sample_00012.png,07:23,443,,,,07:25,445,,,True,False,False,True,2,True,False,,07:25,0.317213773727417,,1,3,5
rege_ood_noisy_blender_000013,noisy,images/sample_00013.png,02:39,159,02:39:51,9591,51,02:38,158,,,True,False,True,True,1,True,False,,02:38,0.3114335536956787,,1,4,5
rege_ood_noisy_blender_000014,noisy,images/sample_00014.png,06:54,414,,,,06:40,400,,,True,False,False,False,14,True,False,,06:40,0.31882643699645996,,1,3,5
rege_ood_noisy_blender_000015,noisy,images/sample_00015.png,07:45,465,,,,07:49,469,,,True,False,False,True,4,True,False,,07:48,0.31879520416259766,,1,2,5
