id,split,image,gt_time_hhmm,gt_time_minutes,gt_time_hhmmss,gt_time_seconds_total,gt_seconds,pred_time_hhmm,pred_time_minutes,pred_time_hhmmss,pred_time_seconds_total,parsed_ok,is_exact,tol_1,tol_5,abs_err_minutes,hour_correct,minute_correct,second_correct,raw_output,latency_sec,error
rege_ood_clean_blender_000000,clean,images/sample_00000.png,11:00,660,11:00:45,39645,45,10:59,659,10:59:46,39586,True,False,True,True,1,False,False,False,10:59:46,0.5221042633056641,
rege_ood_clean_blender_000001,clean,images/sample_00001.png,05:33,333,05:33:30,20010,30,11:35,695,11:35:31,41731,True,False,False,False,358,False,False,False,11:35:31,0.4945793151855469,
rege_ood_clean_blender_000002,clean,images/sample_00002.png,08:15,495,08:15:43,29743,43,02:42,162,02:42:42,9762,True,False,False,False,333,False,False,False,2:42:42,0.35472989082336426,
rege_ood_clean_blender_000003,clean,images/sample_00003.png,08:25,505,08:25:23,30323,23,08:25,505,08:25:23,30323,True,True,True,True,0,True,True,True,The time shown on the analog clock is 08:25:23,0.5483055114746094,
rege_ood_clean_blender_000004,clean,images/sample_00004.png,11:40,700,,,,12:47,47,12:47:00,2820,True,False,False,False,67,False,False,,12:47:00,0.39106082916259766,
rege_ood_clean_blender_000005,clean,images/sample_00005.png,09:52,592,,,,10:55,655,10:55:00,39300,True,False,False,False,63,False,False,,10:55:00,0.39023685455322266,
rege_ood_clean_blender_000006,clean,images/sample_00006.png,06:44,404,,,,06:43,403,06:43:44,24224,True,False,True,True,1,True,False,,The exact time shown on this analog clock is 6:43:44.,0.5827579498291016,
rege_ood_clean_blender_000007,clean,images/sample_00007.png,05:03,303,,,,05:28,328,05:28:07,19687,True,False,False,False,25,True,False,,05:28:07,0.3897833824157715,
rege_ood_clean_blender_000008,clean,images/sample_00008.png,05:44,344,05:44:46,20686,46,12:46,46,12:46:47,2807,True,False,False,False,298,False,False,False,12:46:47,0.5003190040588379,
rege_ood_clean_blender_000009,clean,images/sample_00009.png,04:17,257,,,,04:14,254,04:14:14,15254,True,False,False,True,3,True,False,,04:14:14,0.5110828876495361,
rege_ood_clean_blender_000010,clean,images/sample_00010.png,07:40,460,,,,07:40,460,07:40:39,27639,True,True,True,True,0,True,True,,07:40:39,0.5097520351409912,
rege_ood_clean_blender_000011,clean,images/sample_00011.png,01:31,91,01:31:21,5481,21,01:31,91,01:31:18,5478,True,True,True,True,0,True,True,False,The time shown on the analog clock is 01:31:18.,0.693394660949707,
rege_ood_clean_blender_000012,clean,images/sample_00012.png,04:36,276,04:36:48,16608,48,04:36,276,04:36:47,16607,True,True,True,True,0,True,True,False,04:36:47,0.45152759552001953,
rege_ood_clean_blender_000013,clean,images/sample_00013.png,01:25,85,,,,01:28,88,01:28:27,5307,True,False,False,True,3,True,False,,The exact time shown on the analog clock is 01:28:27.,0.8323204517364502,
