id,split,image,gt_time_hhmm,gt_time_minutes,gt_time_hhmmss,gt_time_seconds_total,gt_seconds,pred_time_hhmm,pred_time_minutes,pred_time_hhmmss,pred_time_seconds_total,parsed_ok,is_exact,tol_1,tol_5,abs_err_minutes,hour_correct,minute_correct,second_correct,raw_output,latency_sec,error
rege_ood_clean_blender_000000,clean,images/sample_00000.png,04:54,294,,,,10:54,654,,,True,False,False,False,360,False,True,,10:54,3.6035664081573486,
rege_ood_clean_blender_000001,clean,images/sample_00001.png,03:16,196,,,,03:17,197,,,True,False,True,True,1,True,False,,03:17,0.2970890998840332,
rege_ood_clean_blender_000002,clean,images/sample_00002.png,08:15,495,,,,07:39,459,,,True,False,False,False,36,False,False,,07:39,0.2925891876220703,
rege_ood_clean_blender_000003,clean,images/sample_00003.png,05:25,325,05:25:50,19550,50,05:27,327,,,True,False,False,True,2,True,False,,05:27,0.2925243377685547,
rege_ood_clean_blender_000004,clean,images/sample_00004.png,11:21,681,11:21:14,40874,14,03:25,205,,,True,False,False,False,244,False,False,,03:25,0.3057889938354492,
rege_ood_clean_blender_000005,clean,images/sample_00005.png,12:43,43,12:43:19,2599,19,01:49,109,,,True,False,False,False,66,False,False,,01:49,0.3075435161590576,
rege_ood_clean_blender_000006,clean,images/sample_00006.png,06:44,404,,,,06:44,404,,,True,True,True,True,0,True,True,,06:44,0.3099517822265625,
rege_ood_clean_blender_000007,clean,images/sample_00007.png,06:35,395,,,,05:33,333,,,True,False,False,False,62,False,False,,05:33,0.30866408348083496,
rege_ood_clean_blender_000008,clean,images/sample_00008.png,02:01,121,,,,02:02,122,,,True,False,True,True,1,True,False,,02:02,0.2946329116821289,
rege_ood_clean_blender_000009,clean,images/sample_00009.png,08:49,529,08:49:09,31749,9,08:48,528,,,True,False,True,True,1,True,False,,08:48,0.2956411838531494,
rege_ood_clean_blender_000010,clean,images/sample_00010.png,06:00,360,,,,06:00,360,,,True,True,True,True,0,True,True,,06:00,0.30588603019714355,
rege_ood_clean_blender_000011,clean,images/sample_00011.png,10:29,629,10:29:42,37782,42,10:43,643,,,True,False,False,False,14,True,False,,10:43,0.30844879150390625,
rege_ood_clean_blender_000012,clean,images/sample_00012.png,01:07,67,,,,02:11,131,,,True,False,False,False,64,False,False,,02:11,0.30149269104003906,
rege_ood_clean_blender_000013,clean,images/sample_00013.png,11:07,667,11:07:05,40025,5,11:08,668,,,True,False,True,True,1,True,False,,11:08,0.30683469772338867,
rege_ood_clean_blender_000014,clean,images/sample_00014.png,08:43,523,08:43:22,31402,22,08:44,524,,,True,False,True,True,1,True,False,,08:44,0.30800437927246094,
rege_ood_clean_blender_000015,clean,images/sample_00015.png,03:51,231,,,,03:49,229,,,True,False,False,True,2,True,False,,03:49,0.31708431243896484,
rege_ood_clean_blender_000016,clean,images/sample_00016.png,01:43,103,,,,02:46,166,,,True,False,False,False,63,False,False,,02:46,0.31081175804138184,
rege_ood_clean_blender_000017,clean,images/sample_00017.png,12:39,39,,,,01:43,103,,,True,False,False,False,64,False,False,,01:43,0.3086812496185303,
rege_ood_clean_blender_000018,clean,images/sample_00018.png,12:02,2,,,,12:00,0,,,True,False,False,True,2,True,False,,12:00,0.3189530372619629,
rege_ood_clean_blender_000019,clean,images/sample_00019.png,10:26,626,,,,08:21,501,,,True,False,False,False,125,False,False,,08:21,0.3145427703857422,
rege_ood_clean_blender_000020,clean,images/sample_00020.png,08:03,483,,,,08:04,484,,,True,False,True,True,1,True,False,,08:04,0.3072688579559326,
rege_ood_clean_blender_000021,clean,images/sample_00021.png,04:54,294,,,,04:50,290,,,True,False,False,True,4,True,False,,04:50,0.3043797016143799,
rege_ood_clean_blender_000022,clean,images/sample_00022.png,12:19,19,,,,12:17,17,,,True,False,False,True,2,True,False,,12:17,0.3100895881652832,
rege_ood_clean_blender_000023,clean,images/sample_00023.png,06:49,409,06:49:25,24565,25,06:51,411,,,True,False,False,True,2,True,False,,06:51,0.3063845634460449,
rege_ood_clean_blender_000024,clean,images/sample_00024.png,11:44,704,11:44:04,42244,4,11:42,702,,,True,False,False,True,2,True,False,,11:42,0.30712413787841797,
rege_ood_clean_blender_000025,clean,images/sample_00025.png,08:00,480,08:00:34,28834,34,08:01,481,,,True,False,True,True,1,True,False,,08:01,0.3080105781555176,
rege_ood_clean_blender_000026,clean,images/sample_00026.png,12:48,48,,,,12:47,47,,,True,False,True,True,1,True,False,,12:47,0.3064291477203369,
rege_ood_clean_blender_000027,clean,images/sample_00027.png,09:39,579,09:39:06,34746,6,09:40,580,,,True,False,True,True,1,True,False,,09:40,0.3105499744415283,
rege_ood_clean_blender_000028,clean,images/sample_00028.png,01:42,102,,,,12:37,37,,,True,False,False,False,65,False,False,,12:37,0.3148660659790039,
rege_ood_clean_blender_000029,clean,images/sample_00029.png,03:51,231,,,,04:54,294,,,True,False,False,False,63,False,False,,04:54,0.31076765060424805,
rege_ood_clean_blender_000030,clean,images/sample_00030.png,07:32,452,07:32:02,27122,2,07:32,452,,,True,True,True,True,0,True,True,,07:32,0.3188483715057373,
rege_ood_clean_blender_000031,clean,images/sample_00031.png,11:48,708,,,,11:49,709,,,True,False,True,True,1,True,False,,11:49,0.32492828369140625,
rege_ood_clean_blender_000032,clean,images/sample_00032.png,03:28,208,,,,03:26,206,,,True,False,False,True,2,True,False,,03:26,0.3240470886230469,
